artifact_type,artifact_subtype,file_name,file_extension,file_path_or_storage_key,storage_bucket,source_layer,workflow_stage,created_by,created_date,notes
raw_data,GAZP11 source data,NV_seedlings_edit.csv,csv,GAZP/GAZP11/source/NV_seedlings_edit.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained row-level seedling data CSV.
raw_data,GAZP11 source data,NV_seedlings_edit.xlsx,xlsx,GAZP/GAZP11/source/NV_seedlings_edit.xlsx,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained row-level seedling workbook used for reprocessing.
raw_data,GAZP11 source data,NV_seedlings_relevant.csv,csv,GAZP/GAZP11/source/NV_seedlings_relevant.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained relevant-subset seedling CSV.
raw_data,GAZP11 source data,Rout.csv,csv,GAZP/GAZP11/source/Rout.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained output from legacy processing.
raw_data,GAZP11 source data,Species.csv,csv,GAZP/GAZP11/source/Species.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained legacy species table.
transformation_code,GAZP11 legacy source processing code,Processing.R,r,GAZP/GAZP11/source/Processing.R,grp-import-artifacts,retained legacy processing code,input,Nancy Shackelford,2026-09-21,Legacy processing code retained in the source package.
harmonized_data,GAZP11 harmonized data,GAZP11.xlsx,xlsx,GAZP/GAZP11/harmonized/GAZP11.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-21,Original harmonized workbook retained unchanged.
harmonized_data,GAZP11 harmonized data,GAZP11_reprocessed.xlsx,xlsx,GAZP/GAZP11/harmonized/GAZP11_reprocessed.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-21,Reviewed harmonized workbook used for SQL preparation.
transformation_code,GAZP11 import code,01_reprocess_GAZP11_vegresults.R,r,GAZP/GAZP11/code/01_reprocess_GAZP11_vegresults.R,grp-import-artifacts,R transformation workflow,preprocess,Nancy Shackelford,2026-09-21,Source-supported corrections and passive-count reversal.
transformation_code,GAZP11 import code,02_GAZP11_import.R,r,GAZP/GAZP11/code/02_GAZP11_import.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-21,Prepare-stage driver and project decisions.
transformation_code,GAZP11 import code,03_GAZP11_build.R,r,GAZP/GAZP11/code/03_GAZP11_build.R,grp-import-artifacts,R transformation workflow,build,Nancy Shackelford,2026-09-21,SQL staging builder and live validation.
transformation_code,GAZP11 import code,04_GAZP11_summarize.R,r,GAZP/GAZP11/code/04_GAZP11_summarize.R,grp-import-artifacts,R transformation workflow,summarize,Nancy Shackelford,2026-09-21,"Build approval, ID-drift check, and commit preview."
mapping_table,GAZP11 crosswalk,GAZP11_harmonized-SQL_crosswalk.csv,csv,GAZP/GAZP11/crosswalks/GAZP11_harmonized-SQL_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-21,Reviewed plot-to-treatment-event SQL mapping.
mapping_table,GAZP11 crosswalk,GAZP11_species_crosswalk.csv,csv,GAZP/GAZP11/crosswalks/GAZP11_species_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-21,Exact-code vegetation species mapping.
