file,sha256,approved,reviewed_by,reviewed_date,review_note
GAZP11_harmonized-SQL_crosswalk.csv,5B5BB9A709649DDA79D8DD2DC1CA17A190FF019B68622E8E221E124E1AF716CC,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
GAZP11_species_crosswalk.csv,3FDBBA08ED7F44038C3630E3FFD02507D14B2363B2EE52221557220D6B04AF0A,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
build_summary.csv,7E850C0622328CC281D7A6628D4081BD08CB6F2519D5E22C708975D509760857,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
build_validation_issues.csv,68C56EE472BB3D4BF5C081AF655FB07F705B0B0EC133719C8ED123CA8A6E30ED,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
staging_table_inventory.csv,DEB1169255CD1EFEB63C4AECBF5EB5D27822CBBD17973558A3F762B2E0ADFB80,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_area.csv,B9A375A1B48B871E8411B6E3CEE84B128A75DEA149FFA224EADA32F0C768B624,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_area_treatment.csv,B288790B1ABD3F9C11BE0CE9AEEDACAC88BA122E7359A722F2E9063A6007608F,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_author_contributor.csv,BCBFF8BFCCA6DBC8D1280E90D082E731C5EB78D79CBA35682E5568B7AAD2F031,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_location.csv,92818260CC4C73B583D56E8A16CCDE5F5F60A5F5639B0EA767046723ABD43681,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_paper.csv,FE71529FCCF0DC8F0374DCE6A24A3A62AB8CC6ED2AC134D57CA6EC1107B263D9,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_paper_author.csv,AAF4205C5B475462F8DE9FC4CCD96F82A289DFD0ADB57A6813C4742097245366,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project.csv,9520296EA5AE51048A16910BC8068104E796FB0DCA9AA6DB1784BF0D5D6BD9F3,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_contributor.csv,86854705A00738C0C0ACA7C9D593F577B1347368C5E0335F7CEC2C57A19B1B31,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_data_accessibility.csv,22ED98E1AF729114D169BA8A4D7DD625816DD8DCE8E0B3245842F1A279AB15C4,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_location.csv,B369262E20DF5E182E8A03DDD5055479278F910C3CE1C172BA695F817BBCA877,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_paper.csv,746F029A36A6C33986B28E835DDC2B7ABE552E72B6C9EC6574F301E101F6510C,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_site.csv,CBA857B6F727CCD7075DCF6905CE104F53C862B9E779C4DC2CD6D512B2602BE5,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_project_vegmetric.csv,372D4FD7B914208962A1FE30B6FD6A209CA937A63B3408E893935E63D6368211,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_seed_mix.csv,2BAF298CC96DE604A7E79EFA6105BEF0062C95F4FDF5407A2FA016FA3D04ED3A,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
stg_seeding.csv,2BFBC4EBB073D12A26CBA950838DA4F986DE7C7FF51F882D0536B24F526AE510,TRUE,user,2026-09-21,User approved the revised GAZP11 build package in the Codex conversation.
