artifact_type,artifact_subtype,file_name,file_extension,file_path_or_storage_key,storage_bucket,source_layer,workflow_stage,created_by,created_date,notes,local_path,exists,bytes
raw_data,GAZP11 source data,NV_seedlings_edit.csv,csv,GAZP/GAZP11/source/NV_seedlings_edit.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained row-level seedling data CSV.,data/source/GAZP/GAZP11/NV_seedlings_edit.csv,TRUE,100366
raw_data,GAZP11 source data,NV_seedlings_edit.xlsx,xlsx,GAZP/GAZP11/source/NV_seedlings_edit.xlsx,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained row-level seedling workbook used for reprocessing.,data/source/GAZP/GAZP11/NV_seedlings_edit.xlsx,TRUE,100398
raw_data,GAZP11 source data,NV_seedlings_relevant.csv,csv,GAZP/GAZP11/source/NV_seedlings_relevant.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained relevant-subset seedling CSV.,data/source/GAZP/GAZP11/NV_seedlings_relevant.csv,TRUE,46671
raw_data,GAZP11 source data,Rout.csv,csv,GAZP/GAZP11/source/Rout.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained output from legacy processing.,data/source/GAZP/GAZP11/Rout.csv,TRUE,62638
raw_data,GAZP11 source data,Species.csv,csv,GAZP/GAZP11/source/Species.csv,grp-import-artifacts,retained original source data,input,Nancy Shackelford,2026-09-21,Retained legacy species table.,data/source/GAZP/GAZP11/Species.csv,TRUE,261
transformation_code,GAZP11 legacy source processing code,Processing.R,r,GAZP/GAZP11/source/Processing.R,grp-import-artifacts,retained legacy processing code,input,Nancy Shackelford,2026-09-21,Legacy processing code retained in the source package.,data/source/GAZP/GAZP11/Processing.R,TRUE,685
harmonized_data,GAZP11 harmonized data,GAZP11.xlsx,xlsx,GAZP/GAZP11/harmonized/GAZP11.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-21,Original harmonized workbook retained unchanged.,data/harmonized/GAZP/GAZP11/GAZP11.xlsx,TRUE,88410
harmonized_data,GAZP11 harmonized data,GAZP11_reprocessed.xlsx,xlsx,GAZP/GAZP11/harmonized/GAZP11_reprocessed.xlsx,grp-import-artifacts,legacy Excel database,input,Nancy Shackelford,2026-09-21,Reviewed harmonized workbook used for SQL preparation.,data/harmonized/GAZP/GAZP11/GAZP11_reprocessed.xlsx,TRUE,88219
transformation_code,GAZP11 import code,01_reprocess_GAZP11_vegresults.R,r,GAZP/GAZP11/code/01_reprocess_GAZP11_vegresults.R,grp-import-artifacts,R transformation workflow,preprocess,Nancy Shackelford,2026-09-21,Source-supported corrections and passive-count reversal.,R/import_code/GAZP11/01_reprocess_GAZP11_vegresults.R,TRUE,24283
transformation_code,GAZP11 import code,02_GAZP11_import.R,r,GAZP/GAZP11/code/02_GAZP11_import.R,grp-import-artifacts,R transformation workflow,prepare,Nancy Shackelford,2026-09-21,Prepare-stage driver and project decisions.,R/import_code/GAZP11/02_GAZP11_import.R,TRUE,15321
transformation_code,GAZP11 import code,03_GAZP11_build.R,r,GAZP/GAZP11/code/03_GAZP11_build.R,grp-import-artifacts,R transformation workflow,build,Nancy Shackelford,2026-09-21,SQL staging builder and live validation.,R/import_code/GAZP11/03_GAZP11_build.R,TRUE,16823
transformation_code,GAZP11 import code,04_GAZP11_summarize.R,r,GAZP/GAZP11/code/04_GAZP11_summarize.R,grp-import-artifacts,R transformation workflow,summarize,Nancy Shackelford,2026-09-21,"Build approval, ID-drift check, and commit preview.",R/import_code/GAZP11/04_GAZP11_summarize.R,TRUE,13837
mapping_table,GAZP11 crosswalk,GAZP11_harmonized-SQL_crosswalk.csv,csv,GAZP/GAZP11/crosswalks/GAZP11_harmonized-SQL_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-21,Reviewed plot-to-treatment-event SQL mapping.,crosswalk_tables/GAZP/GAZP11/GAZP11_harmonized-SQL_crosswalk.csv,TRUE,86261
mapping_table,GAZP11 crosswalk,GAZP11_species_crosswalk.csv,csv,GAZP/GAZP11/crosswalks/GAZP11_species_crosswalk.csv,grp-import-artifacts,reviewed SQL mapping output,output,Nancy Shackelford,2026-09-21,Exact-code vegetation species mapping.,crosswalk_tables/GAZP/GAZP11/GAZP11_species_crosswalk.csv,TRUE,1728
